ACCE_ABSORB_COST	Absorberrings pris: %d
ACCE_ALREADY_REGISTER	Denne genstand er allerede blevet brugt.
ACCE_DEL_ABSORDITEM	Absorber genstand, øde læg det i processen?
ACCE_DEL_SERVEITEM	Bånd 2 vil blive ødelagt hvis kombinationen fejler.
ACCE_DEL_SERVEITEM2	Bånd 2 vil blive ødelagt hvis kombinationen fejler.
ACCE_INITEM	Træk genstanden ind i vinduet.
ACCE_MAXGRADE	Dette er allerede blevet tilpasset.
ACCE_MAX_DRAINRATE	Maks. Absorberings Sats
ACCE_NOTABSORBITEM	Du kan ikke bruge et våben eller rustnings stykke som allerede er blevet absorberet.
ACCE_NOT_SEALITEM	Du kan ikke bruge en sjælebunden genstand.
ACCE_NOT_USINGITEM	Du kan ikke kombinere en genstand du bruger.
ACCE_NOT_WINDOWOPEN	Du kan ikke bruge genstanden når kombinerings vinduet er åbent.
ACCE_POSSIBLE_ACCE	Du kan kun bruge skulderbånd.
ACCE_POSSIBLE_ACCEITEM	Du kan kun uddrage bonusser fra våben og rustning.
AFF_LOVE_POINT	Kærlighedspoint: %d%%
ALIGNMENT_NAME	Rang:
ATTACK_ERROR_UNKNOWN	Ukendt angrebsfejl: %s
ATTENDANCE_REWARD_QUESTION	Vil du tage imod din belønning?
ATTR_6TH_7TH_ADD_QUESTION1	Du kan ikke bruge denne genstand mens en bonus bliver tilføjet.
ATTR_6TH_7TH_ADD_QUESTION2	Ønsker du virkelig at tilføje bonussen?
ATTR_6TH_7TH_CHANGE_FAIL	Du kan ikke ændre bonussen.
ATTR_6TH_7TH_DESC1	a. Du skal tilføje de nødvendige materialer til genstanden for at tilføje en 6. og 7. bonus.
ATTR_6TH_7TH_DESC2	b. Hvert krafts skår øger succesraten med 2%.
ATTR_6TH_7TH_DESC3	c. Brug et tilsætningsstof for at øge succesraten endnu mere.
ATTR_6TH_7TH_DESC4	d. Det tager 24 timer at tilføje en bonus. I løbet af denne tid, vil NPC beholde den genstand hvor bonussen bliver tilføjet. Så snart at processen er gennemført, kan du indsamle det igen.
ATTR_6TH_7TH_POSSIBILITY	Du kan tilføje en yderligere bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Succesrate: %.1f%%
AURA_DRAIN_PER	Absorberings sats %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Ikke nok Yang til at udvikle den.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Overførte genstand kan ikke bruges.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Udstyrede genstande kan ikke blive overført.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Kan ikke blive udviklet.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Det nuværende antal genstande er ikke nok til at udvikle den.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Kan ikke blive forbedret.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Kun Aura Outfit, Skjold, Halskæde, Ørering og Armbånd kan bruges.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Sjælebundne genstande kan ikke blive overført.
AURA_ITEM_NEED_REGISTER	[Aura] Genstande skal blive indsat.
AURA_LEVEL_STEP	Lvl%d (Stadie %d)
AURA_MAX_LEVEL	[Aura] Aura Outfitet har nået det maksimale level.
