ACCE_ABSORB_COST	Costo dell'assorbimento: %d
ACCE_ALREADY_REGISTER	Questo oggetto è stato già usato.
ACCE_DEL_ABSORDITEM	Assorbire e distruggere l'oggetto?
ACCE_DEL_SERVEITEM	Se la fusione fallisce, la stola 2 verrà distrutta.
ACCE_DEL_SERVEITEM2	Se la fusione fallisce, la stola 2 verrà distrutta.
ACCE_INITEM	Trascina gli oggetti nella finestra.
ACCE_MAXGRADE	Questa stola è già su misura.
ACCE_MAX_DRAINRATE	Tasso di assorbimento massimo
ACCE_NOTABSORBITEM	Non puoi utilizzare un'arma/armatura già assorbita.
ACCE_NOT_SEALITEM	Non si possono utilizzare oggetti legati all'anima.
ACCE_NOT_USINGITEM	Non si possono fondere oggetti che fan parte dell'equipaggiamento.
ACCE_NOT_WINDOWOPEN	Non è possibile utilizzare l'oggetto mentre la finestra della fusione è aperta.
ACCE_POSSIBLE_ACCE	Puoi utilizzare solo stole.
ACCE_POSSIBLE_ACCEITEM	Puoi estrarre bonus solo da armi e armature.
AFF_LOVE_POINT	Punto amore: %d%%
ALIGNMENT_NAME	Punti Karma:
ATTACK_ERROR_UNKNOWN	Errore d'attacco sconosciuto: %s
ATTENDANCE_REWARD_QUESTION	Vuoi ricevere la tua ricompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Non si può usare l'oggetto mentre si aggiunge un bonus.
ATTR_6TH_7TH_ADD_QUESTION2	Aggiungere il bonus?
ATTR_6TH_7TH_CHANGE_FAIL	Non si può modificare il bonus.
ATTR_6TH_7TH_DESC1	a. Per aggiungere il 6° e 7° bonus devi inserire i materiali richiesti per l'oggetto.
ATTR_6TH_7TH_DESC2	b. Ogni frammento aumenta del 2% la probabilità di successo.
ATTR_6TH_7TH_DESC3	c. Aumenta la probabilità di successo con un'Integrazione.
ATTR_6TH_7TH_DESC4	d. L'aggiunta del bonus richiede 24 ore. L'NPC trattiene l'oggetto al quale viene aggiunto il bonus. L'oggetto ti verrà restituito al termine del processo.
ATTR_6TH_7TH_POSSIBILITY	Puoi aggiungere un bonus extra.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilità di successo: %.1f%%
AURA_DRAIN_PER	Tasso di assorbimento: %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Non hai abbastanza Yang per effettuare un'evoluzione.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Non è possibile trasferire altri bonus.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Gli item in uso non possono essere trasferiti.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Non si può far evolvere.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] La quantità di item in uso non è sufficiente per effettuare l'evoluzione.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Non si può migliorare.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Si può fare solo con Vesti Aura, scudi, orecchini, bracciali.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Gli oggetti legati all'anima non si possono trasferire.
AURA_ITEM_NEED_REGISTER	[Aura] È necessario aggiungere degli item.
AURA_LEVEL_STEP	Livello %d (livello %d)
AURA_MAX_LEVEL	[Aura] La Veste Aura ha raggiunto il livello massimo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] L'item trasferito è stato distrutto.
AURA_OPEN_OTHER_WINDOW	Non puoi eseguire questa azione quando la finestra per il miglioramento/l'evoluzione/il trasferimento dei valori è aperta.
AURA_POSSIBLE_AURAITEM	[Aura] Si può fare solo con la Veste Aura.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] È necessario aggiungere prima la Veste Aura.
AURA_TITLE_ABSORB	I valori sono stati trasferiti sulla Veste Aura.
AURA_TITLE_EVOLUTION	Fai evolvere la Veste Aura
AURA_TITLE_GROWTH	Migliora la Veste Aura
AURA_TOOLTIP_EXP	EXP (%d%%/100%%)
AURA_TOOLTIP_LEVEL	Livello %d (livello %d) (tasso di assorbimento %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nuovi
AURA_TOOLTIP_NOW	Recenti
AURA_TOOLTIP_RESOURCE	Bene di consumo
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Abilità: scegli delle abilità per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE2	Suggerimento: sotto ogni abilità puoi modificare l'intervallo di attivazione (espresso in secondi).
AUTO_TOOLTIP_LINE3	Abilità: scegli delle pozioni per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE4	Suggerimento: le pozioni HP e MP si attivano quando si supera il valore in % espresso sotto la pozione.
AUTO_TOOLTIP_LINE5	Suggerimento: la durata delle altre pozioni è espressa in secondi.
AUTO_TOOLTIP_TITLE	Aiuto Autocaccia
BATTLE_POINT	Punti battaglia
BEAD	Sfera Anima
BEAD_TIME_REMAINING_TO_GET	La Sfera Anima verrà ricaricata tra %d min.
BNW_COIN	Monete Veggenza
BUY_LIMIT_LEVEL	Limite d'acquisto: %s
CANNOT_ATTACK_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_ATTACK_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_EQUIP_IN_EXCHANGE	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_EQUIP_IN_SHOP	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Non puoi aprire il tuo negozio privato in un luogo pubblico.
CANNOT_SHOOT_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SHOOT_EMPTY_ARROW	Mi serve una freccia.
CANNOT_SHOOT_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_SKILL_APPROACH	Sono sicuro di non riuscire ad arrivarci da più vicino.
CANNOT_SKILL_ATTACK	Non lo posso attaccare.
CANNOT_SKILL_BLUE	Se l'Anima del lupo purpureo è attiva, non puoi usare l'Anima del lupo indaco.
CANNOT_SKILL_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SKILL_EQUIP_FISHING_ROD	Non è possibile pescare senza che si stia utilizzando una canna da pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Per utilizzarlo mi serve un cavallo.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Non ho una bottiglia vuota.
CANNOT_SKILL_NEED_POISON_BOTTLE	Non ho una bottiglia di veleno.
CANNOT_SKILL_NEED_TARGET	Chi è il bersaglio?
CANNOT_SKILL_NOT_ENOUGH_HP	Non ho abbastanza HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Non ho abbastanza MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Non lo posso utilizzare mentre cavalco.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Non posso utilizzare questa abilità con quest`arma.
CANNOT_SKILL_NOT_YET_LEARN	Non ho imparato quest`abilità.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ha effetto solo sui membri del gruppo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ha effetto solo sui morti.
CANNOT_SKILL_RED	Se l'Anima del lupo indaco è attiva, non puoi usare l'Anima del lupo purpureo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Non posso utilizzare questa abilità con la mia canna da pesca.
CANNOT_SKILL_SELF_IN_SAFE	Da qui non posso attaccare.
CANNOT_SKILL_USE_SELF	Non posso usarlo su me stesso.
CANNOT_SKILL_WAIT_COOLTIME	Non sono ancora in grado di utilizzare questa abilità.
CANNOT_USE	Non la puoi utilizzare.
CANNOT_WHISPER_DEST_REFUSE	%s ha bloccato la chat privata.	SA
CANNOT_WHISPER_NOT_LOGON	%s non è online.	SA
CANNOT_WHISPER_SELF_REFUSE	Non puoi chattare privatamente con gli altri se hai bloccato la Chat privata.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armature
CATEGORY_ARMOR_ARMOR_HEAD	Elmi
CATEGORY_ARMOR_ARMOR_SHIELD	Scudi
CATEGORY_COSTUMES	Costumi
CATEGORY_COSTUMES_COSTUME_BODY	Costumi
CATEGORY_COSTUMES_COSTUME_HAIR	Pettinature
CATEGORY_COSTUMES_COSTUME_WEAPON	Skin per arma
CATEGORY_COSTUMES_ETC	Varie
CATEGORY_COSTUMES_SASH	Stole
CATEGORY_DRAGON_STONE	Alchimia delle Pietre del drago
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granato
CATEGORY_DRAGON_STONE_DRAGON_JADE	Giada
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubino
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zaffiro
CATEGORY_DRAGON_STONE_ETC	Varie
CATEGORY_EQUIPMENT_ARMOR	Armature
CATEGORY_EQUIPMENT_JEWELRY	Gioielli
CATEGORY_EQUIPMENT_WEAPON	Armi
CATEGORY_ETC	Varie
CATEGORY_ETC_ETC	Varie
CATEGORY_ETC_EVENT	Item eventi
