ACCE_ABSORB_COST	Absorberingsprijs: %d
ACCE_ALREADY_REGISTER	Dit item is al gebruikt.
ACCE_DEL_ABSORDITEM	Item absorberen, waarmee het dus vernietigd wordt?
ACCE_DEL_SERVEITEM	Gordel 2 zal worden vernietigd, mocht het combineren mislukken.
ACCE_DEL_SERVEITEM2	Gordel 2 zal worden vernietigd, mocht het combineren mislukken.
ACCE_INITEM	Sleep de items naar het venster.
ACCE_MAXGRADE	Dit is al aangepast.
ACCE_MAX_DRAINRATE	Max. Absorberingswaarde
ACCE_NOTABSORBITEM	Je kunt een wapen of pantserstuk dat al geabsorbeerd is niet gebruiken.
ACCE_NOT_SEALITEM	Je kunt geen zielsgebonden voorwerpen gebruiken.
ACCE_NOT_USINGITEM	Je kunt een voorwerp dat je draagt niet combineren.
ACCE_NOT_WINDOWOPEN	Je kunt het voorwerp niet gebruiken wanneer het combineervenster open is.
ACCE_POSSIBLE_ACCE	Je kunt alleen Schoudergordels gebruiken.
ACCE_POSSIBLE_ACCEITEM	Je kunt alleen bonussen van wapens en pantser onttrekken.
AFF_LOVE_POINT	Liefdespunten: %d%%	
ALIGNMENT_NAME	Rang punten:	
ATTACK_ERROR_UNKNOWN	Onbekend Aanvals Fout: %s	
ATTENDANCE_REWARD_QUESTION	Wil je jouw beloning komen innen?
ATTR_6TH_7TH_ADD_QUESTION1	Je kunt dit item niet gebruiken wanneer er een bonus aan toegevoegd wordt.
ATTR_6TH_7TH_ADD_QUESTION2	Weet je zeker dat je de bonus wil toevoegen?
ATTR_6TH_7TH_CHANGE_FAIL	Je kunt de bonus niet veranderen.
ATTR_6TH_7TH_DESC1	a. Je moet de materialen toevoegen die het item vereist om een 6de of 7de bonus toe te voegen.
ATTR_6TH_7TH_DESC2	b. Elke krachtscherf verhoogt de kans op succes met 2%.
ATTR_6TH_7TH_DESC3	b. Gebruik een additief om de succeskans nog verder te verhogen.
ATTR_6TH_7TH_DESC4	d. Het duurt 24 uur om een bonus toe te voegen. Gedurende deze periode zal de NPC het item bij zich houden waaraan de bonus toegevoegd moet worden. Zodra het proces voltooid is kun je het weer ophalen.
ATTR_6TH_7TH_POSSIBILITY	Je kunt een extra bonus toevoegen.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Succeskans: %.1f%%
AURA_DRAIN_PER	Absorptiewaarde %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Onvoldoende Yang om te evolueren.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Overgedragen item kan niet gebruikt worden.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Gedragen items kunnen overgedragen worden.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Kan niet geëvolueerd worden.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Huidige aantal items is niet toereikend om te evolueren.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Kan niet verbeterd worden.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Alleen een Aura Outfit, Schild, Ketting, Oorbel en Armband kan gebruikt worden.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Zielsgebonden items kunnen niet overgedragen worden.
AURA_ITEM_NEED_REGISTER	[Aura] Items moeten ingevoegd worden.
AURA_LEVEL_STEP	Lvl%d (Stap %d)
AURA_MAX_LEVEL	[Aura] Aura Outfit heeft het maximale level bereikt.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Overgedragen item is vernietigd.
AURA_OPEN_OTHER_WINDOW	Je kunt dit niet doen zolang het scherm voor verbetering, evolutie of voor het overdragen van items geopend is.
AURA_POSSIBLE_AURAITEM	[Aura] Alleen een Aura Outfit kan gebruikt worden.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura Outfit moet eerst ingevoegd worden.
AURA_TITLE_ABSORB	Waardes overdragen aan Aura Outfit
AURA_TITLE_EVOLUTION	Aura Outfit evolueren
AURA_TITLE_GROWTH	Aura Outfit verbeteren
AURA_TOOLTIP_EXP	ERV (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl%d (Stap %d) (Absorberingswaarde %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nieuw
AURA_TOOLTIP_NOW	Huidig
AURA_TOOLTIP_RESOURCE	Gebruiksvoorwerpen
